timestamp,messages,tracks,positions,signal,noise
2026-09-11 10:49:55,193,53,5,-23.1,-32.3
2026-09-11 11:04:54,193,53,5,-23.1,-32.3
2026-09-11 11:07:03,193,53,5,-23.1,-32.3
2026-09-11 11:12:03,193,53,5,-23.1,-32.3
2026-09-11 11:17:03,193,53,5,-23.1,-32.3
2026-09-11 11:18:08,193,53,5,-23.1,-32.3
2026-09-11 11:18:17,193,53,5,-23.1,-32.3
2026-09-11 11:23:08,193,53,5,-23.1,-32.3
2026-09-11 11:28:08,19,17,0,-27.5,-32.7
2026-09-11 11:33:08,36,32,0,-28.8,-32.8
2026-09-11 11:38:08,45,41,0,-29.5,-32.8
2026-09-11 11:43:09,186,57,6,-23.4,-32.8
2026-09-11 11:48:09,226,69,6,-23.7,-32.9
2026-09-11 11:53:09,407,81,6,-22.5,-33.0
2026-09-11 11:58:09,414,88,6,-22.6,-32.9
2026-09-11 12:03:09,428,102,6,-22.8,-32.9
2026-09-11 12:08:09,437,111,6,-22.9,-32.8
2026-09-11 12:13:10,447,121,6,-23.1,-32.8
2026-09-11 12:18:10,462,136,6,-23.2,-32.8
2026-09-11 12:23:10,475,147,6,-23.4,-32.8
2026-09-11 12:28:10,486,158,6,-23.5,-32.7
2026-09-11 12:33:10,496,168,6,-23.6,-32.7
2026-09-11 12:38:11,511,178,6,-23.7,-32.7
2026-09-11 12:43:11,519,186,6,-23.8,-32.7
2026-09-11 12:48:11,530,197,6,-23.9,-32.7
2026-09-11 12:53:11,542,208,6,-24.0,-32.7
2026-09-11 12:58:11,556,222,6,-24.1,-32.6
2026-09-11 13:03:11,562,228,6,-24.1,-32.6
2026-09-11 13:08:11,573,239,6,-24.2,-32.6
2026-09-11 13:13:12,589,255,6,-24.4,-32.6
2026-09-11 13:18:12,598,264,6,-24.4,-32.6
2026-09-11 13:23:12,607,273,6,-24.5,-32.6
2026-09-11 13:28:12,620,286,6,-24.6,-32.6
2026-09-11 13:33:12,631,297,6,-24.7,-32.6
2026-09-11 13:38:12,646,307,6,-24.7,-32.6
2026-09-11 13:43:12,672,319,6,-24.7,-32.6
2026-09-11 13:48:13,695,336,6,-24.8,-32.6
2026-09-11 13:53:13,704,345,6,-24.9,-32.6
2026-09-11 13:58:13,709,350,6,-24.9,-32.6
2026-09-11 14:03:13,724,365,6,-25.0,-32.6
2026-09-11 14:08:13,753,376,7,-25.1,-32.7
2026-09-11 14:13:14,822,386,11,-24.6,-32.7
2026-09-11 14:18:14,863,392,11,-24.5,-32.7
2026-09-11 14:23:14,875,404,11,-24.6,-32.7
2026-09-11 14:28:14,886,414,11,-24.6,-32.7
2026-09-11 14:33:14,895,423,11,-24.7,-32.7
2026-09-11 14:38:14,920,436,11,-24.7,-32.7
2026-09-11 14:43:15,937,449,11,-24.7,-32.7
2026-09-11 14:48:15,947,457,11,-24.8,-32.8
2026-09-11 14:53:15,990,464,12,-24.8,-32.8
